id,title,created_at,duration
1,Avicii 'Levels' Skrillex Remix,2011/12/21 05:31:29 +0000,281367
2,Flight Facilities - Crave You (Adventure Club Dubstep Remix),2011/06/21 23:58:19 +0000,237125
3,Skrillex & Damian 'Jr Gong' Marley - Make It Bun Dem,2012/05/08 15:25:16 +0000,213806
4,First Of The Year (Equinox),2011/08/24 15:20:41 +0000,261613
5,Bullet Train by Stephen Swartz ft. Joni Fatora,2012/08/28 01:07:49 +0000,245749
6,OneRepublic - Counting Stars (Longarms Dubstep Remix),2013/09/04 23:12:07 +0000,191233
7,Meg &amp; Dia - Monster (DotEXE Remix),2011/08/31 23:40:10 +0000,223012
8,Linkin Park - Numb - Dubstep Remix,2012/05/13 23:30:37 +0000,253692
9,Paradise - Coldplay,2013/08/21 01:09:59 +0000,243953
10,Jason Derulo - Wiggle (Borgore Remix) [Free Download],2014/08/08 17:37:53 +0000,137232
11,Spag Heddy - Permanent,2014/12/25 12:48:21 +0000,233032
12,Korn 'Narcissistic Cannibal (feat Skrillex and Kill the Noise)',2011/10/13 18:05:10 +0000,194607
13,Different Heaven & EH!DE - My Heart [NCS Release],2014/05/29 12:55:19 +0000,267230
14,Paradise - Jóhannes Ágúst Remix (Coldplay),2011/11/26 14:00:03 +0000,243761
15,O.T Genasis - Coco , Borgore Remix,2014/12/24 19:09:17 +0000,236690
16,The Chainsmokers ft. Daya - Don't Let Me Down (Zomboy Remix),2016/04/15 12:45:24 +0000,265690
17,Max Elto - Shadow Of The Sun (Adventure Club Remix),2014/06/25 21:56:45 +0000,308742
18,Scary Monsters And Nice Sprites (Dirtyphonics remix),2011/08/24 15:20:41 +0000,291297
19,Like A Bitch,2016/01/18 11:50:00 +0000,227311
20,Ruffneck (FULL Flex),2011/08/24 15:20:41 +0000,226371
21,Lost Woods Dubstep - Ephixa,2011/04/11 04:29:54 +0000,233309
22,MS MR - Hurricane (Adventure Club Remix),2015/02/25 22:40:38 +0000,267388
23,KDrew - Circles,2012/10/17 17:33:09 +0000,265820
24,Nuclear (Hands Up),2012/10/18 16:13:55 +0000,316320
25,Metric - Collect Call (Adventure Club Dubstep Remix),2011/12/12 21:09:28 +0000,302063
26,Pegboard Nerds - Here It Comes,2014/06/09 17:42:43 +0000,213675
27,Bullseye by KDrew,2012/04/01 22:11:20 +0000,248780
28,unravel -Full Version- feat. Hatsune Miku (dj-Jo Remix),2014/07/18 00:05:50 +0000,238206
29,Skorge - Sail (AWOLNATION Dubstep Rmx)[BUY = FREE DOWNLOAD],2012/02/04 18:13:01 +0000,195627
30,PUMPED UP KICKS-DUBSTEP,2011/09/27 18:30:47 +0000,327386
31,Mind Control,2013/12/03 11:45:59 +0000,222975
32,Galantis - Gold Dust (Illenium Remix),2015/05/07 18:04:52 +0000,264096
33,New Electro & House 2013 Best Of EDM Mix,2014/05/10 09:32:26 +0000,4510253
34,<U+0627><U+063A><U+0646><U+064A><U+0629> <U+0623><U+062D><U+0645><U+062F> <U+0633><U+0639><U+062F> <U+0627><U+0644><U+062C><U+062F><U+064A><U+062F><U+0629> - <U+0643><U+0644> <U+062F><U+0627> <U+0628><U+064A><U+062D><U+0635><U+0644><U+064A> <U+0644><U+064A><U+0629> - <U+0647><U+062A><U+0628><U+0643><U+064A> <U+0627><U+0644><U+062D><U+062C><U+0631> - <U+062D><U+0632><U+064A><U+0646><U+0629> <U+062C><U+062F><U+0627>,2016/12/29 11:03:42 +0000,276558
